Inverter_ID,Season,Irradiance_Wm2,Temperature_C,Bus_Voltage_pu,Load_Demand_MW,Control_Scheme,Reactive_Power_Setting_MVAR,Voltage_Setting_pu,VOCR,Power_Loss_kW
PV4,Monsoon,930.36,30.9,0.999,0.611,Distributed,0.236,1.019,0.021,1.9
PV5,Monsoon,524.85,27.6,0.936,0.924,Distributed,0.155,0.956,0.032,1.75
PV3,Winter,112.06,44.2,0.922,0.588,Decentralized,0.092,0.932,0.04,2.65
PV5,Summer,354.47,33.9,1.068,0.402,Distributed,0.121,1.088,0.04,2.06
PV5,Winter,140.14,23.1,1.023,0.667,Decentralized,0.098,1.033,0.044,2.7
PV2,Winter,132.66,38.0,0.965,0.974,Distributed,0.077,0.985,0.051,2.76
PV3,Summer,348.15,41.0,0.938,0.725,Decentralized,0.14,0.948,0.033,2.19
PV3,Summer,348.05,14.4,1.011,0.988,Decentralized,0.14,1.021,0.022,2.56
PV3,Summer,808.41,17.0,1.017,0.889,Distributed,0.212,1.037,0.047,2.48
PV5,Monsoon,977.35,17.6,0.941,0.325,Distributed,0.245,0.961,0.037,2.07
PV4,Summer,434.09,34.2,1.07,0.761,Decentralized,0.157,1.08,0.025,2.4
PV3,Winter,486.0,31.1,0.917,0.501,Distributed,0.147,0.937,0.04,2.34
PV6,Summer,860.31,31.7,0.971,0.692,Distributed,0.222,0.991,0.038,2.54
PV5,Winter,341.33,42.9,1.036,0.496,Distributed,0.118,1.056,0.052,2.31
PV2,Monsoon,240.74,37.2,0.955,0.544,Decentralized,0.118,0.965,0.018,1.79
PV4,Winter,867.78,14.5,1.066,0.946,Decentralized,0.244,1.076,0.04,2.36
PV6,Winter,141.85,22.2,1.048,0.445,Decentralized,0.098,1.058,0.027,2.38
PV6,Summer,657.73,25.2,1.058,0.912,Distributed,0.182,1.078,0.048,2.31
PV2,Summer,605.79,23.9,0.924,0.321,Distributed,0.171,0.944,0.034,2.43
PV4,Winter,411.33,33.4,0.928,0.364,Decentralized,0.152,0.938,0.03,2.76
PV5,Summer,383.67,41.2,0.957,0.898,Decentralized,0.147,0.967,0.03,2.05
PV1,Monsoon,794.67,20.7,1.004,0.741,Distributed,0.209,1.024,0.021,2.08
PV4,Monsoon,177.78,29.3,1.05,0.823,Distributed,0.086,1.07,0.021,2.07
PV2,Summer,313.11,37.6,1.067,0.447,Distributed,0.113,1.087,0.035,2.03
PV6,Monsoon,759.2,24.6,1.041,0.676,Distributed,0.202,1.061,0.031,1.84
PV5,Summer,593.49,15.9,1.086,0.816,Decentralized,0.189,1.096,0.036,2.49
PV4,Winter,215.19,26.6,1.048,0.739,Distributed,0.093,1.068,0.054,2.57
PV1,Winter,893.92,11.9,0.961,0.63,Distributed,0.229,0.981,0.046,2.67
PV1,Monsoon,454.1,43.0,0.953,0.972,Decentralized,0.161,0.963,0.011,1.99
PV3,Summer,845.08,12.6,1.039,0.773,Decentralized,0.239,1.049,0.029,2.3
PV3,Summer,808.94,25.3,0.939,0.935,Distributed,0.212,0.959,0.046,2.02
PV2,Monsoon,661.98,28.5,0.919,0.811,Decentralized,0.202,0.929,0.017,1.93
PV4,Winter,545.03,44.5,1.006,0.815,Distributed,0.159,1.026,0.038,2.23
PV4,Monsoon,981.6,15.8,1.064,0.356,Distributed,0.246,1.084,0.026,1.94
PV6,Winter,230.47,14.0,0.92,0.552,Decentralized,0.116,0.93,0.04,2.68
PV6,Summer,752.64,10.3,1.058,0.901,Decentralized,0.221,1.068,0.025,2.35
PV6,Winter,272.07,15.4,1.062,0.463,Distributed,0.104,1.082,0.054,2.8
PV3,Monsoon,404.44,17.3,0.996,0.381,Decentralized,0.151,1.006,0.016,1.88
PV4,Summer,377.83,32.1,0.911,0.528,Distributed,0.126,0.931,0.032,2.45
PV4,Monsoon,952.33,17.7,0.935,0.454,Distributed,0.24,0.955,0.029,1.97
PV1,Monsoon,970.62,10.7,1.041,0.948,Distributed,0.244,1.061,0.029,2.1
PV3,Winter,264.71,38.9,1.042,0.908,Decentralized,0.123,1.052,0.025,2.63
PV5,Monsoon,119.83,22.8,1.08,0.65,Distributed,0.074,1.1,0.022,1.77
PV3,Winter,748.01,22.4,1.017,0.343,Distributed,0.2,1.037,0.039,2.77
PV5,Summer,476.19,20.6,0.925,0.8,Distributed,0.145,0.945,0.031,2.4
PV1,Winter,179.96,44.1,0.924,0.736,Decentralized,0.106,0.934,0.032,2.24
PV2,Summer,715.38,16.0,1.044,0.979,Distributed,0.193,1.064,0.052,2.39
PV4,Winter,590.59,41.4,0.937,0.691,Distributed,0.168,0.957,0.047,2.73
PV1,Monsoon,982.47,37.2,0.966,0.535,Distributed,0.246,0.986,0.033,1.93
PV4,Winter,304.67,12.7,0.997,0.663,Decentralized,0.131,1.007,0.032,2.41
PV6,Winter,463.58,44.5,0.905,0.985,Distributed,0.143,0.925,0.042,2.69
PV2,Summer,588.29,19.5,0.95,0.787,Distributed,0.168,0.97,0.029,2.47
PV2,Monsoon,812.53,13.5,0.982,0.77,Decentralized,0.233,0.992,0.02,1.92
PV1,Winter,593.95,39.0,0.956,0.468,Decentralized,0.189,0.966,0.035,2.29
PV2,Monsoon,651.61,34.7,0.927,0.821,Distributed,0.18,0.947,0.023,1.8
PV5,Winter,303.53,31.6,1.046,0.825,Distributed,0.111,1.066,0.053,2.64
PV2,Winter,862.23,15.5,1.063,0.522,Distributed,0.222,1.083,0.046,2.68
PV4,Monsoon,485.77,26.7,0.951,0.639,Decentralized,0.167,0.961,0.017,1.81
PV4,Winter,226.86,37.3,1.055,0.506,Decentralized,0.115,1.065,0.028,2.42
PV4,Monsoon,697.77,20.6,0.977,0.481,Distributed,0.19,0.997,0.031,1.73
PV4,Winter,294.48,20.9,1.001,0.318,Decentralized,0.129,1.011,0.04,2.63
PV5,Summer,187.81,10.1,1.071,0.5,Distributed,0.088,1.091,0.035,2.0
PV3,Monsoon,875.79,16.1,1.05,0.688,Distributed,0.225,1.07,0.024,1.72
PV6,Winter,514.15,40.6,1.061,0.301,Decentralized,0.173,1.071,0.035,2.2
PV1,Winter,774.36,25.5,0.927,0.498,Distributed,0.205,0.947,0.039,2.59
PV4,Summer,361.53,44.4,0.914,0.917,Decentralized,0.142,0.924,0.031,2.25
PV2,Monsoon,808.27,23.8,1.079,0.716,Decentralized,0.232,1.089,0.022,1.82
PV4,Winter,200.74,35.0,0.978,0.726,Distributed,0.09,0.998,0.037,2.75
PV2,Summer,420.38,19.9,0.958,0.582,Decentralized,0.154,0.968,0.019,2.12
PV6,Winter,980.26,22.7,1.045,0.774,Distributed,0.246,1.065,0.049,2.43
PV6,Monsoon,814.59,16.7,1.067,0.433,Decentralized,0.233,1.077,0.016,2.08
PV6,Winter,547.53,22.1,1.072,0.873,Distributed,0.16,1.092,0.037,2.46
PV2,Winter,405.8,29.2,0.963,0.382,Distributed,0.131,0.983,0.052,2.53
PV4,Winter,884.92,44.7,1.07,0.759,Distributed,0.227,1.09,0.042,2.25
PV6,Winter,590.36,33.2,0.908,0.539,Decentralized,0.188,0.918,0.034,2.67
PV5,Summer,782.58,17.0,0.91,0.823,Distributed,0.207,0.93,0.034,2.25
PV2,Summer,778.7,11.6,1.025,0.685,Decentralized,0.226,1.035,0.031,2.48
PV2,Monsoon,116.15,14.4,0.913,0.617,Decentralized,0.093,0.923,0.016,1.8
PV4,Summer,213.63,29.7,0.965,0.419,Decentralized,0.113,0.975,0.037,2.25
PV2,Summer,693.67,36.8,1.035,0.746,Decentralized,0.209,1.045,0.032,2.47
PV2,Monsoon,245.46,42.9,0.967,0.982,Decentralized,0.119,0.977,0.013,2.09
PV6,Summer,329.94,10.6,0.936,0.878,Distributed,0.116,0.956,0.038,2.04
PV4,Summer,951.97,28.3,0.956,0.342,Decentralized,0.26,0.966,0.026,2.49
PV6,Monsoon,604.16,26.5,0.992,0.563,Distributed,0.171,1.012,0.031,1.82
PV6,Monsoon,775.66,33.0,0.995,0.948,Distributed,0.205,1.015,0.037,1.92
PV4,Monsoon,602.18,29.6,1.057,0.652,Decentralized,0.19,1.067,0.022,1.82
PV1,Winter,597.26,34.0,1.05,0.763,Distributed,0.169,1.07,0.036,2.57
PV6,Winter,184.74,33.0,0.991,0.939,Distributed,0.087,1.011,0.05,2.41
PV5,Monsoon,409.3,14.1,1.069,0.912,Decentralized,0.152,1.079,0.01,1.83
PV5,Monsoon,354.19,38.0,0.923,0.651,Distributed,0.121,0.943,0.036,1.72
PV2,Monsoon,451.66,14.3,0.951,0.606,Decentralized,0.16,0.961,0.023,1.76
PV5,Winter,818.51,34.4,1.066,0.538,Decentralized,0.234,1.076,0.031,2.75
PV2,Winter,434.74,24.6,0.976,0.803,Decentralized,0.157,0.986,0.031,2.8
PV1,Summer,506.53,28.0,1.096,0.501,Distributed,0.151,1.116,0.048,2.47
PV4,Summer,457.64,41.6,0.993,0.475,Distributed,0.142,1.013,0.048,2.17
PV4,Monsoon,184.07,41.1,1.058,0.549,Distributed,0.087,1.078,0.027,1.86
PV4,Winter,496.96,38.6,0.98,0.424,Distributed,0.149,1.0,0.042,2.64
PV5,Winter,276.05,27.9,0.985,0.787,Decentralized,0.125,0.995,0.036,2.78
PV1,Winter,268.05,35.8,0.977,0.731,Decentralized,0.124,0.987,0.025,2.47
PV5,Monsoon,184.63,28.0,1.044,0.638,Distributed,0.087,1.064,0.022,2.03
PV5,Summer,421.0,40.4,1.01,0.573,Decentralized,0.154,1.02,0.021,2.59
PV1,Monsoon,781.73,24.1,1.089,0.936,Distributed,0.206,1.109,0.024,2.05
PV1,Summer,348.8,44.0,0.95,0.32,Decentralized,0.14,0.96,0.028,2.14
PV1,Summer,381.11,42.6,0.92,0.838,Decentralized,0.146,0.93,0.038,2.0
PV1,Monsoon,678.41,36.0,0.979,0.931,Decentralized,0.206,0.989,0.023,1.9
PV4,Summer,276.26,19.8,1.023,0.612,Decentralized,0.125,1.033,0.019,2.32
PV3,Summer,907.26,14.6,1.072,0.685,Decentralized,0.251,1.082,0.029,2.12
PV3,Winter,568.17,39.9,0.969,0.961,Distributed,0.164,0.989,0.046,2.37
PV1,Summer,502.84,15.8,1.031,0.449,Distributed,0.151,1.051,0.032,2.46
PV3,Monsoon,602.04,39.9,0.97,0.664,Decentralized,0.19,0.98,0.028,1.89
PV3,Monsoon,249.43,27.2,1.023,0.632,Distributed,0.1,1.043,0.029,1.83
PV1,Summer,652.13,24.2,1.077,0.481,Decentralized,0.2,1.087,0.038,2.37
PV3,Winter,426.79,41.6,0.946,0.873,Decentralized,0.155,0.956,0.033,2.59
PV5,Winter,907.47,31.1,0.981,0.93,Decentralized,0.251,0.991,0.037,2.66
PV2,Summer,251.97,30.2,1.099,0.847,Decentralized,0.12,1.109,0.02,2.09
